text,intent,tag
Người Đến Sau Sẽ Cho Người Tất Cả,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
người đến sau sẽ cho người tất cả,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Single Lady (Gái Độc Thân),inform,B-inform#name_song I-inform#name_song O O O
single lady (gái độc thân),inform,B-inform#name_song I-inform#name_song O O O
Chiều Thu Họa Bóng Nàng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chiều thu họa bóng nàng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chuyện Cũ Bỏ Qua 3,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chuyện cũ bỏ qua 3,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
If U Have A Dream,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
if u have a dream,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Dạy Tôi Cách Yêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
dạy tôi cách yêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Cứ Ngỡ Là Anh,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
cứ ngỡ là anh,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Bên Trái,inform,B-inform#name_song I-inform#name_song
bên trái,inform,B-inform#name_song I-inform#name_song
Học Cách Sống Vô Tâm,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
học cách sống vô tâm,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Con Đường Mùa Đông,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
con đường mùa đông,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Một Nửa Của Người Thứ Ba,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
một nửa của người thứ ba,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Gửi Ông Già Noel,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
gửi ông già noel,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chúng Ta Của Hiện Tại (ThienHi X HighFrequency Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O
chúng ta của hiện tại (thienhi x highfrequency remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O
Lời Nói Điêu Trên Môi Em (Lofi Version),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
lời nói điêu trên môi em (lofi version),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
Ngôi Nhà Hoa Hồng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
ngôi nhà hoa hồng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Sợ Lắm 2 (Orinn EDM Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O
sợ lắm 2 (orinn edm remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O
Hẹn Yêu (Orinn EDM Remix),inform,B-inform#name_song I-inform#name_song O O O
hẹn yêu (orinn edm remix),inform,B-inform#name_song I-inform#name_song O O O
Níu Duyên (Orinn EDM Remix),inform,B-inform#name_song I-inform#name_song O O O
níu duyên (orinn edm remix),inform,B-inform#name_song I-inform#name_song O O O
Chúng Ta Chỉ Là Đã Từng Yêu (Vietnamese Cover) (HM Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O
chúng ta chỉ là đã từng yêu (vietnamese cover) (hm remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O
Đom Đóm (LeMon Remix),inform,B-inform#name_song I-inform#name_song O O
đom đóm (lemon remix),inform,B-inform#name_song I-inform#name_song O O
Trên Tình Bạn Dưới Tình Yêu (NĐQ EDM Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
trên tình bạn dưới tình yêu (nđq edm remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
Hai Phút Hơn (Zero Tow Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O
hai phút hơn (zero tow remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O
Níu Duyên (Orinn Vinahouse Remix),inform,B-inform#name_song I-inform#name_song O O O
níu duyên (orinn vinahouse remix),inform,B-inform#name_song I-inform#name_song O O O
Chiều Thu Họa Bóng Nàng (Quynh ID Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
chiều thu họa bóng nàng (quynh id remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
Chuyện Cũ Bỏ Qua (NĐQ EDM Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
chuyện cũ bỏ qua (nđq edm remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
Từ Thích Thích Thành Thương Thương (Orinn Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
từ thích thích thành thương thương (orinn remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
Chuyện Cũ Bỏ Qua (Tree D Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
chuyện cũ bỏ qua (tree d remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
Bức Bình Phong (Orinn EDM Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O
bức bình phong (orinn edm remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O
Hòa Nhịp Giáng Sinh (Vux Remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
hòa nhịp giáng sinh (vux remix),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
Níu Duyên (Đình Cương Remix),inform,B-inform#name_song I-inform#name_song O O O
níu duyên (đình cương remix),inform,B-inform#name_song I-inform#name_song O O O
Giữ Ai Đó Đổi Thay (Lofi Version),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
giữ ai đó đổi thay (lofi version),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
Níu Duyên (NĐQ EDM Remix 2),inform,B-inform#name_song I-inform#name_song O O O O
níu duyên (nđq edm remix 2),inform,B-inform#name_song I-inform#name_song O O O O
Đi Về Nhà,inform,B-inform#name_song I-inform#name_song I-inform#name_song
đi về nhà,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Hoàn Hảo,inform,B-inform#name_song I-inform#name_song
hoàn hảo,inform,B-inform#name_song I-inform#name_song
Cả Ngàn Lời Chúc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
cả ngàn lời chúc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Trúng Mánh Rồi,inform,B-inform#name_song I-inform#name_song I-inform#name_song
trúng mánh rồi,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Choido,inform,B-inform#name_song
choido,inform,B-inform#name_song
Brother,inform,B-inform#name_song
brother,inform,B-inform#name_song
Hôm Nay Ta Đi Vô Bar,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
hôm nay ta đi vô bar,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
No L / Chẳng Giống Giáng Sinh,inform,B-inform#name_song I-inform#name_song O O O O O
no l / chẳng giống giáng sinh,inform,B-inform#name_song I-inform#name_song O O O O O
Fall In Love,inform,B-inform#name_song I-inform#name_song I-inform#name_song
fall in love,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Chỉ Một Đêm Nữa Thôi (Demo),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O
chỉ một đêm nữa thôi (demo),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O
Tuổi 17,inform,B-inform#name_song I-inform#name_song
tuổi 17,inform,B-inform#name_song I-inform#name_song
Một Người Vì Em (Live Session),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
một người vì em (live session),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O
Tài Năng Trẻ,inform,B-inform#name_song I-inform#name_song I-inform#name_song
tài năng trẻ,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Em Là Châu Báu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
em là châu báu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Lời Đường Mật,inform,B-inform#name_song I-inform#name_song I-inform#name_song
lời đường mật,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Con Muốn Về,inform,B-inform#name_song I-inform#name_song I-inform#name_song
con muốn về,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Đi Ngược Chiều,inform,B-inform#name_song I-inform#name_song I-inform#name_song
đi ngược chiều,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Tiền Nhiều Để Làm Gì,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
tiền nhiều để làm gì,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Đông Cận Kề,inform,B-inform#name_song I-inform#name_song I-inform#name_song
đông cận kề,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Lòng Tựa Sóng,inform,B-inform#name_song I-inform#name_song I-inform#name_song
lòng tựa sóng,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Ô Mê Ly (Ca Sĩ Ẩn Danh),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O O
ô mê ly (ca sĩ ẩn danh),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O O
Trăng Sơn Cước (Ca Sĩ Ẩn Danh),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O O
trăng sơn cước (ca sĩ ẩn danh),inform,B-inform#name_song I-inform#name_song I-inform#name_song O O O O
Nỗi Lòng,inform,B-inform#name_song I-inform#name_song
nỗi lòng,inform,B-inform#name_song I-inform#name_song
Tà Áo Xanh,inform,B-inform#name_song I-inform#name_song I-inform#name_song
tà áo xanh,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Khi Cha Là Chiến Sĩ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
khi cha là chiến sĩ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Hải Quân Hành Khúc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
hải quân hành khúc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Em Yêu Màu Lá,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
em yêu màu lá,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Khi Yêu Lính,inform,B-inform#name_song I-inform#name_song I-inform#name_song
khi yêu lính,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Cảm Ơn Tình Em,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
cảm ơn tình em,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Em Chọn Lối Này,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
em chọn lối này,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Dạ Khúc (Live),inform,B-inform#name_song I-inform#name_song O
dạ khúc (live),inform,B-inform#name_song I-inform#name_song O
Ly Rượu Mừng,inform,B-inform#name_song I-inform#name_song I-inform#name_song
ly rượu mừng,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Chiếc Khăn Piêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song
chiếc khăn piêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Nỗi Lòng Người Đi,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
nỗi lòng người đi,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Đường Về Việt Bắc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
đường về việt bắc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Bài Ca Đất Phương Nam,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
bài ca đất phương nam,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chân Quê,inform,B-inform#name_song I-inform#name_song
chân quê,inform,B-inform#name_song I-inform#name_song
Rồi Mai Tôi Đưa Em,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
rồi mai tôi đưa em,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Dư Âm,inform,B-inform#name_song I-inform#name_song
dư âm,inform,B-inform#name_song I-inform#name_song
Biển Nhớ,inform,B-inform#name_song I-inform#name_song
biển nhớ,inform,B-inform#name_song I-inform#name_song
Em Là Hoa Hồng Nhỏ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
em là hoa hồng nhỏ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Còn Tuổi Nào Cho Em,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
còn tuổi nào cho em,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Tôi Ru Em Ngủ (Phương Thảo Guitar),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
tôi ru em ngủ (phương thảo guitar),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O
Nhớ Mùa Thu Hà Nội,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
nhớ mùa thu hà nội,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Huế Sài Gòn Hà Nội,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
huế sài gòn hà nội,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Hoa Vàng Mấy Độ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
hoa vàng mấy độ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Rừng Xưa Đã Khép,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
rừng xưa đã khép,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chiều Một Mình Qua Phố,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chiều một mình qua phố,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Hạ Trắng,inform,B-inform#name_song I-inform#name_song
hạ trắng,inform,B-inform#name_song I-inform#name_song
Dấu Chân Địa Đàng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
dấu chân địa đàng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Sóng Về Đâu,inform,B-inform#name_song I-inform#name_song I-inform#name_song
sóng về đâu,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Còn Tuổi Nào Cho Em (Em Là Bà Nội Của Anh OST),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O O I-inform#name_song O
còn tuổi nào cho em (em là bà nội của anh ost),inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song O O O O O I-inform#name_song O
Ru Đời Đi Nhé,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
ru đời đi nhé,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Mùa Đông Ở Lại,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
mùa đông ở lại,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Là Tất Cả,inform,B-inform#name_song I-inform#name_song I-inform#name_song
là tất cả,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Tuổi Bé Thơ,inform,B-inform#name_song I-inform#name_song I-inform#name_song
tuổi bé thơ,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Ước Muốn,inform,B-inform#name_song I-inform#name_song
ước muốn,inform,B-inform#name_song I-inform#name_song
Khoảng Trống,inform,B-inform#name_song I-inform#name_song
khoảng trống,inform,B-inform#name_song I-inform#name_song
Em Ăn Gì,inform,B-inform#name_song I-inform#name_song I-inform#name_song
em ăn gì,inform,B-inform#name_song I-inform#name_song I-inform#name_song
B52,inform,B-inform#name_song
b52,inform,B-inform#name_song
Cô Ấy,inform,B-inform#name_song I-inform#name_song
cô ấy,inform,B-inform#name_song I-inform#name_song
Yêu,inform,B-inform#name_song
yêu,inform,B-inform#name_song
Hát Cùng Nhịp Đàn,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
hát cùng nhịp đàn,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Đừng Nói Tôi Điên,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
đừng nói tôi điên,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Khu Em Sống,inform,B-inform#name_song I-inform#name_song I-inform#name_song
khu em sống,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Chuyện Làng Bên,inform,B-inform#name_song I-inform#name_song I-inform#name_song
chuyện làng bên,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Chuyện Ruồi,inform,B-inform#name_song I-inform#name_song
chuyện ruồi,inform,B-inform#name_song I-inform#name_song
Alright,inform,B-inform#name_song
alright,inform,B-inform#name_song
Em Bị Oánh,inform,B-inform#name_song I-inform#name_song I-inform#name_song
em bị oánh,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Rock Xuân Sang,inform,B-inform#name_song I-inform#name_song I-inform#name_song
rock xuân sang,inform,B-inform#name_song I-inform#name_song I-inform#name_song
Alright (Alternative),inform,B-inform#name_song O
alright (alternative),inform,B-inform#name_song O
Ký Ức Xa Lạ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
ký ức xa lạ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Yêu Là Không Hối Tiếc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
yêu là không hối tiếc,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Anh Người Chiến Sỹ An Ninh,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
anh người chiến sỹ an ninh,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Như Bác Về Thăm,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
như bác về thăm,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Lời Mẹ,inform,B-inform#name_song I-inform#name_song
lời mẹ,inform,B-inform#name_song I-inform#name_song
Hát Về Anh Người Trinh Sát Ngoại Tuyến,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
hát về anh người trinh sát ngoại tuyến,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Vì Nhân Dân Quên Mình,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
vì nhân dân quên mình,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chiến Sĩ Việt Nam,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
chiến sĩ việt nam,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Xa Khơi,inform,B-inform#name_song I-inform#name_song
xa khơi,inform,B-inform#name_song I-inform#name_song
Trên Bến Đò Biên Giới,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
trên bến đò biên giới,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Gặp Nhau Giữa Rừng Mơ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
gặp nhau giữa rừng mơ,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Nỗi Đau Rào Trăng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
nỗi đau rào trăng,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Cùng Anh Tiến Quân Trên Đường Dài,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
cùng anh tiến quân trên đường dài,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Tự Hào Quốc Hội Việt Nam,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
tự hào quốc hội việt nam,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Xin Mưa Rào Lên Đỉnh E5,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
xin mưa rào lên đỉnh e5,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Sài Gòn Tình Yêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
sài gòn tình yêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Yến Lão Quê Tôi,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
yến lão quê tôi,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Tiếng Hát Giữa Rừng Pác Bó,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
tiếng hát giữa rừng pác bó,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Vì Biển Trời Tổ Quốc Ta Yêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
vì biển trời tổ quốc ta yêu,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Cô Gái Sài Gòn Đi Tải Đạn,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
cô gái sài gòn đi tải đạn,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Mùa Xuân Trên Quê Hương,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
mùa xuân trên quê hương,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Tháng Ba Tây Nguyên,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
tháng ba tây nguyên,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
Chemtrails Over The Country Club,inform,B-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song I-inform#name_song
